row_id,sentiment_text,ground_truth
0,"#Belgium #operationepicfailure #iran #iranwar #gaza #israel #netanyahu #taco Belgium also says no to Trump’s war, that is besides Spain , some other countries that sound reluctant to join this stupid war are Italy , Germany and France, these last three have not decided yet but they know the consequences, a terrorist attack and a massive exodus of Middle Eastern refugees to Europe.https://substack.com/@rawstory/note/c-224459229?r=17qxua&amp;utm_medium=ios&amp;utm_source=notes-share-action",negative
1,&quot;Massive war price tag could be a massive problem for GOP leaders. The prospect of a ballooning new spending bill has GOP leaders bracing for a messy internal fight&quot;: https://www.politico.com/news/2026/03/06/iran-war-cost-congress-republicans-00816079 #politics #IranWar,negative
2,"You, @noncompliant, wrote: &quot;American soldiers are killing innocent women and children and I&#39;m suppose to be opposed to Russia helping Iran fight the most evil shit on the planet&quot;Yes, the most evil shit on the planet is what Russia is doing in Ukraine, now and for more than four years in a genocidal war. As many people know, Trump is #PutinsPuppet. What Trump is doing in the #IranWar helps Russia (by increasing oil prices and wasting American missiles). Both of those results also harm Americans.",negative
3,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide https://mastodon.social/@VerdantSquareRadio/116189906452202574,neutral
4,"&quot;One gets away with doing reckless, stupid things—like attacking Iran without a plan—-until the moment one doesn’t&quot;: https://www.lawfaremedia.org/article/the-situation--the-base-jumping-presidency Discussing the good and the bad things about the #IranWar as of today. #planning #luck #RunningOutOfLuck copy: @renewedresistance #politics",negative
5,Peace Prize Pedo President is poised to push paratroopers into Persia.Perfect.#IranWar,neutral
6,#SEVENTEEN #IranIsraelWar #Trump #TrumpEpsteinFiles #Iran #IranWar #IranIsraelWar #draft,neutral
7,Man killed by falling debris after drone hits Dubai’s 23 Marina tower  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/man-dies-debris-drone-interception-hits-dubais-23-marina-tower-27289204/,negative
8,Thousands protest against strikes on Iran at US Embassy in London  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/thousands-protest-strikes-iran-us-embassy-london-27288490/,negative
9,"Trump’s White House Posts Fascist Memes As It Wrecks the Economy - “…the United States has now fully entered the “Drive-By Shooting Era” of US foreign policy. The Trump-Vance administration’s actions around the globe don’t feel like those of a functioning government in a healthy democracy, but rather those of addled suburban teens playing ‘Grand Theft Auto: Vice City,’ or “GTA,” cackling hysterically and chugging gallons of Pepsi as they mow down stretches of civilians…” https://zeteo.com/p/trump-iran-war-grand-theft-auto-memes #IranWar #ForeignPolicy #TrumpRegime #Trump #Republicans #RepublicansDidThis",negative
10,"RT: @dimitrilascaris Today in Toronto, I asked pro-Trump Iranians whether it bothered them that the U.S. military massacred more than 100 school-girls in Iran.This is what happened.#IranWar #Toronto",neutral
11,"It feels almost like March 2020, with one bad news after another. #IranWar",negative
12,"RE: https://fediscience.org/@petergleick/116189321935915921There's been a bit of this already, including Russian attacks on Ukraine. USA doing it now too. This is very bad and of course criminal.#USpol #IranWar",negative
13,Pressure on the Gulf states’ budgets could lead them to reassess their overseas investments and future commitments as they consider options to alleviate the financial strain caused by the US-Israeli war against Iran.https://www.dawn.com/news/1979302/gulf-countries-reviewing-us-investments-amid-iran-war#news #worldnews #iran #iranwar #usa,neutral
14,Iran weakens faster than expected as US-Israel air campaign peaks  https://fed.brid.gy/r/https://www.israelhayom.com/2026/03/07/iran-weakens-faster-than-expected-as-us-israel-air-campaign-peaks/,negative
15,Who really runs Iran?  https://fed.brid.gy/r/https://www.israelhayom.com/2026/03/07/who-really-runs-iran-pezeshkians-humiliation-reveals-revolutionary-guards-power/,neutral
16,@thetnholler.bsky.social If my toddler acted like this they would go into a time out. What an awful POS human. #embarrassing #uspolitics #IranWar,negative
17,"""This is the first war since the Second World War that is directly impacting cities that we can consider hubs in the #globalEconomy."" #AmericanPrestige pod welcomes #EsfandyarBatmanghelidj to discuss the economic consequences of #Trump's #warOnIran https://americanprestigepod.com/episodes/5052012542 #Iran #IranWar #USpol #USforeignPolicy #USMiddleEastPolicy #régimeChangeWars #GulfStates #MiddleEast",neutral
18,"With the bombing of the school and now this, the justification excuse of helping the people the FOTUS’s regime has used for attacking Iran is out the window. #USpol #IranWar “The Iranian Foreign Minister is claiming that the Epstein regime has just attacked a DESALINATION PLANT in Iran. If Iran responds in kind, the Middle East could become uninhabitable as there’s not enough fresh water for the populations to survive without their vulnerable desalination plants.” - The Resistance",neutral
19,"Why Today in Tabs is my favorite newsletter:Takes like this: Now that xAI has bought X dot com and SpaceX has bought xAI, SpaceX is a lean, mean space launch satellite internet social media AI CSAM-as-a-service machine. Or, as Musk describes it, “a sentient sun to understand the Universe and extend the light of consciousness to the stars!” And this: if you, like me, are feeling somewhere close to a personal nadir of despair lately Tabs Senior Contributing Editor Bijan has some advice:I think it's important and quietly radical to remember that evil is real and it does exist. ... Good exists, too. There is an us and there is a them. Don't become like them. Caring about each other is the only thing that will bring us into the future.Also: The latest newsletter also has a long rant about how the people running the war in Iran was just don't give a shit about the destruction they're causing. A brief quote wouldn't do it justice. https://www.todayintabs.com/p/they-don-t-care?_bhlid=66d997c1878a2ec650106d6969597bc013d87dc0#SpaceX #Iran #IranWar #uspol",neutral
20,NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide #EpsteinFiles #uk #peace #antiwar #DiverseSpectrumOfTheLeft #SupportIndependentMedia,neutral
21,Make America Go Away.#US #iran #iranwar #carloslatuff,negative
