row_id,sentiment_text,ground_truth,subject_tag,final_text_style_c,bing_liu_sentiment,bing_liu_sentiment_score,bing_liu_sentiment_confidence
0,"#Belgium #operationepicfailure #iran #iranwar #gaza #israel #netanyahu #taco Belgium also says no to Trump’s war, that is besides Spain , some other countries that sound reluctant to join this stupid war are Italy , Germany and France, these last three have not decided yet but they know the consequences, a terrorist attack and a massive exodus of Middle Eastern refugees to Europe.https://substack.com/@rawstory/note/c-224459229?r=17qxua&amp;utm_medium=ios&amp;utm_source=notes-share-action",negative,Military Action,belgium also say trumps war besides spain country sound reluctant join stupid war italy germany france last three decide yet know consequence terrorist attack massive exodus middle eastern refugee europe,negative,-1.0,1.0
1,&quot;Massive war price tag could be a massive problem for GOP leaders. The prospect of a ballooning new spending bill has GOP leaders bracing for a messy internal fight&quot;: https://www.politico.com/news/2026/03/06/iran-war-cost-congress-republicans-00816079 #politics #IranWar,negative,General Conflict,massive war price tag could massive problem top leader prospect balloon new spending bill top leader brace messy internal fight,neutral,0.0,1.0
2,"You, @noncompliant, wrote: &quot;American soldiers are killing innocent women and children and I&#39;m suppose to be opposed to Russia helping Iran fight the most evil shit on the planet&quot;Yes, the most evil shit on the planet is what Russia is doing in Ukraine, now and for more than four years in a genocidal war. As many people know, Trump is #PutinsPuppet. What Trump is doing in the #IranWar helps Russia (by increasing oil prices and wasting American missiles). Both of those results also harm Americans.",negative,Military Action,write american soldier kill innocent woman child suppose oppose russia help iran fight evil shit planet yes evil shit planet russia ukraine four year genocidal war many people know trump trump help russia increase oil price waste american missile result also harm american,negative,-0.6,0.6
3,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide https://mastodon.social/@VerdantSquareRadio/116189906452202574,neutral,General Conflict,verdant square radio playing note bowie hawkins episode,neutral,0.0,0.0
4,"&quot;One gets away with doing reckless, stupid things—like attacking Iran without a plan—-until the moment one doesn’t&quot;: https://www.lawfaremedia.org/article/the-situation--the-base-jumping-presidency Discussing the good and the bad things about the #IranWar as of today. #planning #luck #RunningOutOfLuck copy: @renewedresistance #politics",negative,Military Action,one get away reckless stupid thing like attack iran without plan moment one discussing good bad thing today copy,negative,-0.3333333333333333,0.3333333333333333
5,Peace Prize Pedo President is poised to push paratroopers into Persia.Perfect.#IranWar,neutral,General Conflict,peace prize pedro president poise push paratrooper persia perfect,positive,1.0,1.0
6,#SEVENTEEN #IranIsraelWar #Trump #TrumpEpsteinFiles #Iran #IranWar #IranIsraelWar #draft,neutral,General Conflict,,neutral,0.0,0.0
7,Man killed by falling debris after drone hits Dubai’s 23 Marina tower  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/man-dies-debris-drone-interception-hits-dubais-23-marina-tower-27289204/,negative,Military Action,man kill fall debris drone hit dubai marina tower,negative,-1.0,1.0
8,Thousands protest against strikes on Iran at US Embassy in London  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/thousands-protest-strikes-iran-us-embassy-london-27288490/,negative,Protest/Activism,thousand protest strike iran u embassy london,negative,-1.0,1.0
9,"Trump’s White House Posts Fascist Memes As It Wrecks the Economy - “…the United States has now fully entered the “Drive-By Shooting Era” of US foreign policy. The Trump-Vance administration’s actions around the globe don’t feel like those of a functioning government in a healthy democracy, but rather those of addled suburban teens playing ‘Grand Theft Auto: Vice City,’ or “GTA,” cackling hysterically and chugging gallons of Pepsi as they mow down stretches of civilians…” https://zeteo.com/p/trump-iran-war-grand-theft-auto-memes #IranWar #ForeignPolicy #TrumpRegime #Trump #Republicans #RepublicansDidThis",negative,General Conflict,trump white house post fascist meme wreck economy united state fully enter drive shooting era u foreign policy trump vance administration action around globe do feel like function government healthy democracy rather addle suburban teen play grand theft auto vice city sta cackle hysterically chug gallon pepsi mow stretch civilian,neutral,0.0,1.0
