cleaned_text,ground_truth,prediction,confidence
belgium also say trumps war besides spain country sound reluctant join stupid war italy germany france last three decide yet know consequence terrorist attack massive exodus middle eastern refugee europe,negative,negative,0.7
massive war price tag could massive problem top leader prospect balloon new spending bill top leader brace messy internal fight,negative,neutral,0.5
write american soldier kill innocent woman child suppose oppose russia help iran fight evil shit planet yes evil shit planet russia ukraine four year genocidal war many people know trump trump help russia increase oil price waste american missile result also harm american,negative,negative,0.785
verdant square radio playing note bowie hawkins episode,neutral,neutral,0.92
one get away reckless stupid thing like attack iran without plan moment one discussing good bad thing today copy,negative,negative,0.765
peace prize pedro president poise push paratrooper persia perfect,neutral,neutral,0.55
man kill fall debris drone hit dubai marina tower,negative,negative,0.6
thousand protest strike iran u embassy london,negative,negative,0.55
trump white house post fascist meme wreck economy united state fully enter drive shooting era u foreign policy trump vance administration action around globe do feel like function government healthy democracy rather addle suburban teen play grand theft auto vice city sta cackle hysterically chug gallon pepsi mow stretch civilian,negative,negative,0.69
today toronto ask pro trump iranians whether bother u military massacre schoolgirl iran happen,neutral,neutral,0.67
feel almost like march one bad news another,negative,negative,0.77
bit already include russian attack ukraine u bad course criminal,negative,negative,0.56
pressure gulf state budget could lead reassess overseas investment future commitment consider option alleviate financial strain cause u israeli war iran,neutral,neutral,0.515
iran weaken faster expect u israel air campaign peak,negative,negative,0.51
really run iran,neutral,neutral,0.6
ask social toddler act like would go time awful po human,negative,negative,0.735
first war since second world war directly impact city consider hubs pod welcome discuss economic consequence,neutral,neutral,0.66
bomb school justification excuse help people forum regime use attack iran window iranian foreign minister claim epstein regime attack desalination plant iran iran respond kind middle east could become uninhabitable enough fresh water population survive without vulnerable desalination plant resistance,neutral,negative,0.485
today tabs favourite newsletter take like mai buy dot com space buy mai space lean mean space launch satellite internet social medium camps service machine musk describes sentient sun understand universe extend light consciousness star like feel somewhere close personal nadir despair lately tabs senior contribute editor jan advice think important quietly radical remember evil real exist good exists u do become like care thing bring u future also late newsletter also long rant people run war iran do give shit destruction cause brief justice,neutral,neutral,0.65
play note bowie hawkins episode,neutral,neutral,0.82
make america go away,negative,negative,0.76
iran assembly expert could meet elect new supreme leader within hour,neutral,neutral,0.77
iranian american rally washington democracy amid u israel military campaign washington gray iranian american gather washington saturday rally democracy iran american iran,neutral,neutral,0.635
medium lie kurd,neutral,neutral,0.81
interview trump clear plan iran u official resignation exactly warn ala charr tit ludicrous expect american people believe iran would attack u preemptively middle negotiation contradictory message trumpet al show little really think go war jasmine elgar al,neutral,neutral,0.775
analysis israel plan war iran yearsnetanyahuthis combine effort allow u hop achieve year crush regime terror completely promise amp go happen tanya year year proclaim last opportunity stop mad mullah obtain bomb bomb never materialise jonathan cook,negative,negative,0.62
interview americas war great israel ruin rabbi unpacks explosive new document expose israel systematic ethnic cleanse trump top diplomacy moment negotiation gain traction whether tehran bomb gulf state strategic miscalculation israel unending quest security fuel decade expansion war amp regional upheaval,negative,negative,0.55
analysis iranian revolutionary guard revert guerrilla root amp operate something like cell structure iran fight techno guerrilla war u amp israel fight conventional quite apart failure war tactic kill civilian leader war crime amp unprecedented modern warfare even putin teen key,neutral,neutral,0.545
every body warn washington post classify report national intelligence council find even large scale assault iran launch united state would unlikely oust islamic republic entrench military clerical establishment sober assessment trump administration raise spectre extended military campaign official say begin,neutral,neutral,0.785
interview already scenario u lose control war iran weak party capability create much long mayhem envision u amp israel political scientist valid nash,neutral,neutral,0.775
imperial blow backing churchill amp u counterpart launch coup democratically elect prime minister iran mohammad diego nationalizing oil industry usu regime overthrown iranian revolution one main reason people give revolution overthrow diego george mon,neutral,neutral,0.855
report classify u document say iran war unlikely topple regime document late february doubt iran opposition would take power follow either short extend u military campaign document come national intelligence council compose veteran analyst produce classified assessment meant represent collective wisdom washington intelligence agency,neutral,neutral,0.665
final near strait hormuz girl school bomb leave child dead yet american can not name town happen much less name single one girls modern war depend hierarchy grief training people treat foreign child abstraction number unfortunate incident deny obscure investigated leisure fact matter child kill classroom kill violence make possible materially politically american power,negative,negative,0.61
trump look turn attention western hemisphere least moment americas summit,neutral,neutral,0.715
living hell,negative,negative,0.795
verdant square radio playing lemon drop live trump distraction,neutral,neutral,0.895
operation epstein distraction trump bloody iran hype video seem target niche audience,neutral,neutral,0.705
policy choice market force war halfway around world explain spike price lead unnecessary economy wide high interest rate,neutral,neutral,0.695
play lemon drop live trump distraction,neutral,neutral,0.75
jarrod age executive director trump national energy dominance council lay bare real motive behind illegal iran war fox business naked grab iran oil reserve long term game age say want get massive oil reserve iran hand terrorist trump peace strength code imperialist resource grab dress antiterrorism,negative,negative,0.64
morning cost trump insane pass billion,negative,negative,0.69
martin turner political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.92
imagine superpower pick fight theocratic regime half way across world good reason proudly declare victory theocracy go rampage pull entire neighbourhood war block strategic shipping channel amp cause severe oil supply shock hit forget top strategic oil reserve enter war person face palm war amp,negative,negative,0.705
christian adams political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,0.935
oil gas price rapidly rise iran war show sign let new yorknbspnbspthe price oil surge high show sign halt rapid climb week,negative,negative,0.75
national intelligence council u war unlikely topple regime analyst conclude regime would respond kill supreme leader protocol design preserve continuity power prospect iran opposition take control country describe unlikely,neutral,neutral,0.665
great power spillover iran war implication china russia turkey europe washington institute,neutral,neutral,0.67
blah nylon music selection culture club war song,neutral,neutral,0.825
get good torpedo must pesos u government willing fire,neutral,neutral,0.625
see video rein amid,neutral,neutral,0.68
thoughtful piece spread collateral damage,neutral,neutral,0.76
go frequent protest make wonder liberal today ill share photo burn dumpster damage leave group people censor political graffiti think important people understand please share,negative,negative,0.53
puzzled people bic news editor expect stop hitting country allow u launch illegal attack take apology attack country use u sure case u join illegal war allow u attack iran base,negative,negative,0.56
case wonder like amp regularly launch missile amp drone strike lot oil infrastructure region may seem way film post illegal people arrest go frequent protest make wonder liberal today ill share photo burn dumpster damage leave group people censor political graffiti,neutral,neutral,0.61
