created_at,username,sentiment_text,url,subject_tag,stance_category,final_text,label_gpt4o_mini,label_gemini_flash,label_claude_haiku,ground_truth
2026-03-07T10:01:00Z,user1,"Peace talks about Iran show real progress and hope for stability",https://example.com/1,Diplomacy,Neutral,peace talks iran show real progress hope stability,positive,positive,positive,positive
2026-03-07T10:02:00Z,user2,"Global leaders praise ceasefire efforts in the Middle East",https://example.com/2,Peace,Neutral,global leaders praise ceasefire efforts middle east,positive,positive,positive,positive
2026-03-07T10:03:00Z,user3,"Iran agreement could reduce tensions and improve global economy",https://example.com/3,Economy,Neutral,iran agreement reduce tensions improve global economy,positive,positive,positive,positive
2026-03-07T10:04:00Z,user4,"Hopeful signs of cooperation between nations in conflict resolution",https://example.com/4,Diplomacy,Neutral,hopeful signs cooperation nations conflict resolution,positive,positive,positive,positive
2026-03-07T10:05:00Z,user5,"Humanitarian aid successfully reaches affected regions in Iran",https://example.com/5,Humanitarian,Neutral,humanitarian aid successfully reaches affected regions iran,positive,positive,positive,positive
2026-03-07T10:06:00Z,user6,"Positive discussions on rebuilding trust between countries",https://example.com/6,Politics,Neutral,positive discussions rebuilding trust between countries,positive,positive,positive,positive
2026-03-07T10:07:00Z,user7,"Ceasefire extension welcomed by international community",https://example.com/7,Peace,Neutral,ceasefire extension welcomed international community,positive,positive,positive,positive
2026-03-07T10:08:00Z,user8,"Diplomatic breakthrough reduces fear of escalation",https://example.com/8,Diplomacy,Neutral,diplomatic breakthrough reduces fear escalation,positive,positive,positive,positive
2026-03-07T10:09:00Z,user9,"Economic recovery expected after peace agreement announcement",https://example.com/9,Economy,Neutral,economic recovery expected peace agreement announcement,positive,positive,positive,positive
2026-03-07T10:10:00Z,user10,"Leaders agree on cooperation plan for regional stability",https://example.com/10,Politics,Neutral,leaders agree cooperation plan regional stability,positive,positive,positive,positive
2026-03-07T10:11:00Z,user11,"International organizations celebrate reduced violence levels",https://example.com/11,Peace,Neutral,international organizations celebrate reduced violence levels,positive,positive,positive,positive
2026-03-07T10:12:00Z,user12,"Iran and partners move toward constructive negotiations",https://example.com/12,Diplomacy,Neutral,iran partners move toward constructive negotiations,positive,positive,positive,positive
2026-03-07T10:13:00Z,user13,"Hope rises as sanctions discussions turn toward resolution",https://example.com/13,Economy,Neutral,hope rises sanctions discussions turn toward resolution,positive,positive,positive,positive
2026-03-07T10:14:00Z,user14,"Peace initiatives reduce fears of wider conflict",https://example.com/14,Peace,Neutral,peace initiatives reduce fears wider conflict,positive,positive,positive,positive
2026-03-07T10:15:00Z,user15,"Countries collaborate on rebuilding infrastructure in Iran",https://example.com/15,Humanitarian,Neutral,countries collaborate rebuilding infrastructure iran,positive,positive,positive,positive
2026-03-07T10:16:00Z,user16,"Positive market reaction after diplomatic talks",https://example.com/16,Economy,Neutral,positive market reaction diplomatic talks,positive,positive,positive,positive
2026-03-07T10:17:00Z,user17,"World leaders emphasize peace and mutual understanding",https://example.com/17,Politics,Neutral,world leaders emphasize peace mutual understanding,positive,positive,positive,positive
2026-03-07T10:18:00Z,user18,"Aid programs expanded to support civilians successfully",https://example.com/18,Humanitarian,Neutral,aid programs expanded support civilians successfully,positive,positive,positive,positive
